Temperature (K)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
427.33	459.63	undefined	10.841	27.334	43.339	447.10	0.0022366	10.841	27.334	43.339	40.719	50.938	2245.4	-0.52136	71.767	0.28545	447.10	0.0022366	10.841	27.334	43.339	40.719	50.938	2245.4	-0.52136	71.767	0.28545
429.08	461.54	undefined	10.913	27.474	43.505	447.10	0.0022366	10.913	27.474	43.505	40.811	51.016	2247.3	-0.52054	71.673	0.28580	447.10	0.0022366	10.913	27.474	43.505	40.811	51.016	2247.3	-0.52054	71.673	0.28580
430.83	463.46	undefined	10.984	27.614	43.671	447.10	0.0022366	10.984	27.614	43.671	40.903	51.094	2249.3	-0.51971	71.580	0.28616	447.10	0.0022366	10.984	27.614	43.671	40.903	51.094	2249.3	-0.51971	71.580	0.28616
432.58	465.37	undefined	11.056	27.754	43.837	447.10	0.0022366	11.056	27.754	43.837	40.996	51.173	2251.2	-0.51889	71.489	0.28651	447.10	0.0022366	11.056	27.754	43.837	40.996	51.173	2251.2	-0.51889	71.489	0.28651
434.33	467.27	undefined	11.127	27.894	44.003	447.10	0.0022366	11.127	27.894	44.003	41.088	51.252	2253.1	-0.51807	71.398	0.28686	447.10	0.0022366	11.127	27.894	44.003	41.088	51.252	2253.1	-0.51807	71.398	0.28686
436.08	469.18	undefined	11.199	28.034	44.168	447.10	0.0022366	11.199	28.034	44.168	41.181	51.331	2255.0	-0.51724	71.309	0.28721	447.10	0.0022366	11.199	28.034	44.168	41.181	51.331	2255.0	-0.51724	71.309	0.28721
437.83	471.08	undefined	11.272	28.175	44.333	447.10	0.0022366	11.272	28.175	44.333	41.274	51.411	2256.9	-0.51642	71.220	0.28757	447.10	0.0022366	11.272	28.175	44.333	41.274	51.411	2256.9	-0.51642	71.220	0.28757
439.58	472.98	undefined	11.344	28.315	44.498	447.10	0.0022366	11.344	28.315	44.498	41.367	51.490	2258.9	-0.51559	71.133	0.28792	447.10	0.0022366	11.344	28.315	44.498	41.367	51.490	2258.9	-0.51559	71.133	0.28792
441.33	474.87	undefined	11.416	28.456	44.663	447.10	0.0022366	11.416	28.456	44.663	41.461	51.570	2260.8	-0.51477	71.047	0.28828	447.10	0.0022366	11.416	28.456	44.663	41.461	51.570	2260.8	-0.51477	71.047	0.28828
443.08	476.77	undefined	11.489	28.596	44.827	447.10	0.0022366	11.489	28.596	44.827	41.554	51.651	2262.6	-0.51394	70.962	0.28863	447.10	0.0022366	11.489	28.596	44.827	41.554	51.651	2262.6	-0.51394	70.962	0.28863
